fid,Species,plant_id,plot_id,aggplot_id,site,mean-HEIGHTS06-05-2024,HEIGHTS06-05-2024,mean-HEIGHTS08-30-2024,HEIGHTS08-30-2024,mean-HEIGHTS07-31-2024,HEIGHTS07-31-2024,mean-HEIGHTS08-09-2022,HEIGHTS08-09-2022,mean-HEIGHTS07-18-2024,HEIGHTS07-18-2024,mean-HEIGHTS06-05-2023,HEIGHTS06-05-2023,mean-HEIGHTS06-10-2022,HEIGHTS06-10-2022,mean-HEIGHTS09-09-2022,HEIGHTS09-09-2022,mean-HEIGHTS07-16-2024,HEIGHTS07-16-2024,mean-HEIGHTS08-29-2022,HEIGHTS08-29-2022,mean-HEIGHTS07-27-2023,HEIGHTS07-27-2023,mean-HEIGHTS07-19-2022,HEIGHTS07-19-2022,mean-HEIGHTS11-17-2023,HEIGHTS11-17-2023,mean-HEIGHTS07-08-2022,HEIGHTS07-08-2022,mean-HEIGHTS05-11-2023,HEIGHTS05-11-2023,mean-HEIGHTS07-06-2023,HEIGHTS07-06-2023,mean-HEIGHTS09-26-2022,HEIGHTS09-26-2022,mean-HEIGHTS09-26-2023,HEIGHTS09-26-2023,mean-HEIGHTS07-11-2024,HEIGHTS07-11-2024,mean-HEIGHTS06-21-2023,HEIGHTS06-21-2023,mean-HEIGHTS06-25-2024,HEIGHTS06-25-2024,mean-HEIGHTS05-03-2023,HEIGHTS05-03-2023,mean-HEIGHTS07-26-2023,HEIGHTS07-26-2023,mean-HEIGHTS10-30-2023,HEIGHTS10-30-2023
1,Bluebunch Wheatgrass,23BCPS00001,1,1,BlueCreek,,,0.009778202,0.011736243,0.05067708,0.056344829,,,0.005082993,0.005330403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bluebunch Wheatgrass,23BCPS00002,2,1,BlueCreek,,,0.006765661,0.003928761,0.058554046,0.064669624,,,0.005550491,0.005448645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bluebunch Wheatgrass,23BCPS00011,11,3,BlueCreek,,,0.025201574,0.026218541,0.039102677,0.037127107,,,0.014941532,0.013344955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bluebunch Wheatgrass,23BCPS00101,101,26,BlueCreek,,,0.011124598,0.012150088,0.053371888,0.054625634,,,0.011526083,0.011097207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bluebunch Wheatgrass,23BCPS01001,1001,251,BlueCreek,,,0.009415133,0.002672154,0.039989594,0.039190769,,,0.009778324,0.009193054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bluebunch Wheatgrass,23BCPS01002,1002,251,BlueCreek,,,0.009987152,0.008705016,0.042315725,0.043397356,,,0.009952698,0.011043077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bluebunch Wheatgrass,23BCPS01003,1003,251,BlueCreek,,,0.011878235,0.011794062,0.041032352,0.040439539,,,0.007952433,0.009100611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bluebunch Wheatgrass,23BCPS01004,1004,251,BlueCreek,,,0.009332904,0.010661649,0.043284222,0.041219167,,,0.006591784,0.009288261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bluebunch Wheatgrass,23BCPS01005,1005,252,BlueCreek,,,0.016162416,0.016454257,0.03498951,0.03438637,,,0.009698502,0.010287291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bluebunch Wheatgrass,23BCPS01006,1006,252,BlueCreek,,,0.018538652,0.018131666,0.035885815,0.034475736,,,0.014518335,0.016900543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
